method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,255,2.5500000000000003,0.11047441590666256,625.0,0.08930628473267675,633.0,631.3308541066792,0.086334727794968,0.8757337658905379,0.48279433641994673
gl6,0.01,5,260,2.6,0.10875064183191455,631.0,0.0547622626997566,525.0,523.8738415207947,0.03834889431967899,0.8627546306984981,0.5056228309800672
gl6,0.01,5,265,2.65,0.10728057507517298,628.0,0.06196426776978782,523.0,523.9478544365429,0.03883846053517972,0.8731861627092665,0.4873868332783178
gl6,0.01,5,270,2.7,0.12026593866499669,627.0,0.02425075126253187,545.0,541.9686650125052,0.03516052217322854,0.881602906321438,0.47199185963911877
gl6,0.01,5,275,2.75,0.11689938639163655,624.0,0.06235897329205396,536.0,535.7049812475404,0.033232646059218274,0.8941694330153968,0.4477287404901809
gl6,0.01,5,280,2.8000000000000003,0.11919343792886661,628.0,0.11919343792886661,628.0,628.7871884155411,0.07765456199889766,0.8791341047478134,0.47657447043380385
gl6,0.01,5,285,2.85,0.11925732301144491,627.0,0.11925732301144491,627.0,626.8774799750836,0.08164963272494476,0.8595357007449378,0.5110757078407356
gl6,0.01,5,290,2.9,0.12131487621760709,625.0,0.08634266568004932,688.0,688.2765924357195,0.06436298526854199,0.8597453090389451,0.5107230204186304
gl6,0.01,5,295,2.95,0.12292871813615332,623.0,0.12292871813615332,623.0,623.1565323416617,0.08917810614937072,0.8298201551604504,0.5580309221624605
gl6,0.01,5,300,3.0,0.13622867951271442,621.0,0.13622867951271442,621.0,621.3497304416801,0.08394309539540186,0.849396181800348,0.5277557449644578
gl6,0.01,5,305,3.0500000000000003,0.12468434092421225,619.0,0.12468434092421225,619.0,619.4999949620303,0.08561826044644787,0.8449370872000652,0.5348657015306449
gl6,0.01,5,310,3.1,0.13376685413299316,618.0,0.13376685413299316,618.0,617.6698707837204,0.08450834667492284,0.8549686537003077,0.5186796710782899
gl6,0.01,5,315,3.15,0.12275220072983549,616.0,0.12275220072983549,616.0,615.8632714108724,0.08903076292418288,0.8474249182742595,0.5309152549021967
gl6,0.01,5,320,3.2,0.11904561782635181,614.0,0.10538855134886227,556.0,557.001319319148,0.0627533886301861,0.8761953201461801,0.48195618157041287
gl6,0.01,5,325,3.25,0.11889675713828654,618.0,0.11889675713828654,618.0,618.7514989337765,0.08062183815026439,0.8968733044200149,0.44228754879458604
gl6,0.01,5,330,3.3000000000000003,0.10802271578817889,611.0,0.09669475624722983,616.0,617.5365997038737,0.08735829797104523,0.8773946726515319,0.479769307482994
gl6,0.01,5,335,3.35,0.1080914323561117,609.0,0.06978735494955655,443.0,442.43125534283854,0.03474813086982502,0.8763769147339737,0.481625895609197
