case,cell,time,q,q_gauge,hp_edge
h0.01_k5_min,150,1.5,0.00416349503646889,-0.00416349503646889,0.04251306232948381
h0.01_k5_max,0,0.0,0.0024561447937374485,0.0024561447937374485,0.002456144706445348
h0.01_k5_max,1,0.01,-0.0026070346537137427,0.0026070346537137427,0.0025989710784600837
h0.01_k5_max,2,0.02,0.002740605327859899,0.002740605327859899,0.002739928443158964
h0.01_k5_max,3,0.03,-0.0029102369226900416,0.0029102369226900416,0.0029001238927856368
h0.01_k5_max,4,0.04,0.003057149099364534,0.003057149099364534,0.003056707195820548
h0.01_k5_max,5,0.05,-0.0032478870477513637,0.0032478870477513637,0.003236505539905834
h0.01_k5_max,6,0.06,0.003409000283755745,0.003409000283755745,0.0034099192218211387
h0.01_k5_max,7,0.07,-0.003623470734517069,0.003623470734517069,0.003611314023071368
h0.01_k5_max,8,0.08,0.003799615200154296,0.003799615200154296,0.0038033176080678214
h0.01_k5_max,9,0.09,-0.0040406289725131595,0.0040406289725131595,0.004028741438055774
h0.01_k5_max,10,0.1,0.004232377584598135,0.004232377584598135,0.0042409169547883265
h0.01_k5_max,11,0.11,-0.00450321607773058,0.00450321607773058,0.004492815894213392
h0.01_k5_max,12,0.12,0.004711148508475898,0.004711148508475898,0.004728909943187643
h0.01_k5_max,13,0.13,-0.005015253541438019,0.005015253541438019,0.0050000142899481155
h0.01_k5_max,14,0.14,0.005239330413926385,0.005239330413926385,0.005281053249313709
h0.01_k5_max,15,0.15,-0.0055803567062567335,0.0055803567062567335,0.005580215165106794
h0.01_k5_max,16,0.16,0.005820287980785035,0.005820287980785035,0.005885256545928577
h0.01_k5_max,17,0.17,-0.006202415388072551,0.006202415388072551,0.006212526944256472
h0.01_k5_max,18,0.18,0.006457525344173078,0.006457525344173078,0.006550372617666223
h0.01_k5_max,19,0.19,-0.006884478958673484,0.006884478958673484,0.006910384831704774
h0.01_k5_max,20,0.2,0.007153369532777922,0.007153369532777922,0.007283762892827485
h0.01_k5_max,21,0.21,-0.007629641101536987,0.007629641101536987,0.00767726158792538
h0.01_k5_max,22,0.22,0.007909767400494885,0.007909767400494885,0.008088996516859596
h0.01_k5_max,23,0.23,-0.008439971906199158,0.008439971906199158,0.008520256826993203
h0.01_k5_max,24,0.24,0.008727523558350882,0.008727523558350882,0.008971927404983843
h0.01_k5_max,25,0.25,-0.009315840543482841,0.009315840543482841,0.009451244615012573
h0.01_k5_max,26,0.26,0.009604651136775938,0.009604651136775938,0.00993016890277722
h0.01_k5_max,27,0.27,-0.010254976416747427,0.010254976416747427,0.010455481411623576
h0.01_k5_max,28,0.28,0.01053557829069882,0.01053557829069882,0.010987834633613447
h0.01_k5_max,29,0.29,-0.011251630436965705,0.011251630436965705,0.01155704519812307
h0.01_k5_max,30,0.3,0.011511447606276239,0.011511447606276239,0.012127554084990375
h0.01_k5_max,31,0.31,-0.012295823356461358,0.012295823356461358,0.012735182855006239
h0.01_k5_max,32,0.32,0.012519863452574335,0.012519863452574335,0.013343619767317669
h0.01_k5_max,33,0.33,-0.013374595553546406,0.013374595553546406,0.013991673314206813
h0.01_k5_max,34,0.34,0.013543657758833195,0.013543657758833195,0.0146357678985122
h0.01_k5_max,35,0.35000000000000003,-0.014468598543928003,0.014468598543928003,0.015318765799438961
h0.01_k5_max,36,0.36,0.014559611035895129,0.014559611035895129,0.015996718451946487
h0.01_k5_max,37,0.37,-0.015553589691484175,0.015553589691484175,0.01670220139319377
h0.01_k5_max,38,0.38,0.015538842002911111,0.015538842002911111,0.017418987455843728
h0.01_k5_max,39,0.39,-0.016598350435599568,0.016598350435599568,0.018143513223824303
h0.01_k5_max,40,0.4,0.016447203335239916,0.016447203335239916,0.018867947464342602
h0.01_k5_max,41,0.41000000000000003,-0.017566260726245595,0.017566260726245595,0.01960766485074051
