h,kappa,dt,phi_right,phi_left,x0,N,Ldom,fixed_point_residual,lambda_real,lambda_imag,rho_F,arg_lambda,mode_type,right_eigen_residual,left_eigen_residual,left_ritz_lambda_real,left_ritz_lambda_imag,biorthogonality_real,biorthogonality_imag,right_edge_energy_fraction,left_edge_energy_fraction,two_edge_energy_fraction,q0_real,q0_imag,q0_abs,DN_right,DN_left,DN_pair_norm,right_ritz_iterations,left_ritz_iterations,runtime_s,case,q_turn,cells_to_turn_linear,time_to_turn_linear
0.01,20.0,0.0005,0.875,0.237938564082782,8.005564692820414,1600,16.0,1.5715759285737395e-10,-1.0830080617129956,0.1487840046352585,1.093180287862274,3.005066942715566,complex pair,8.763447077513276e-10,,,,,,0.6606003072022876,0.3388278652182303,0.9994281724205178,,,,,,,260,,8.173217296600342,h0.01_k20,,,
0.01,20.0,0.0005,0.9375,0.3004385640827252,8.006189692820413,1600,16.0,1.8223708244349918e-10,-1.0830135118476578,0.1487847891052466,1.0931857940504393,3.005066910336596,complex pair,7.738001480463924e-10,,,,,,0.6606608734275075,0.3387660362566559,0.9994269096841634,,,,,,,260,,7.5477073192596436,h0.01_k20,,,
0.02,20.0,0.001,0.0,0.6814692820414336,7.996814692820415,800,16.0,1.6776733645823706e-10,-1.1309524119441074,0.0,1.1309524119441074,3.141592653589793,real flip,1.5538610600948354e-11,7.132272989233311e-12,-1.130952411945393,0.0,1.0,0.0,0.7948080262805529,0.2048481072838308,0.9996561335643837,0.0003767298960911,0.0,0.0003767298960911,-0.0055555555555555,0.0020163253560159,0.0059101409012118,220,220.0,8.720552921295166,h0.02_k20,0.0892,44.42631647654384,0.8885263295308768
0.02,20.0,0.001,0.0625,0.7439692820413768,7.998064692820414,800,16.0,1.8688196493723834e-10,-1.1309495124447082,0.0,1.1309495124447082,3.141592653589793,real flip,1.6508029414785966e-11,7.034295027444873e-12,-1.1309495124460656,0.0,1.0000000000000002,0.0,0.7949474947313488,0.2047121647531689,0.9996596594845178,0.0006733915346455,0.0,0.0006733915346455,-0.0048611111111111,0.0027107698004597,0.0055658489150939,220,220.0,8.318843841552734,h0.02_k20,0.0892,39.70751188594025,0.794150237718805
0.02,20.0,0.001,0.125,0.8064692820414052,7.999314692820414,800,16.0,1.93045847257676e-10,-1.1309495253447428,0.0,1.1309495253447428,3.141592653589793,real flip,1.708943786840728e-11,6.958216592208527e-12,-1.130949525346026,0.0,0.9999999999999998,0.0,0.7950322655028783,0.2046341778520516,0.99966644335493,-0.0009174925311711,0.0,0.0009174925311711,-0.0041666666666666,0.0034052142449045,0.0053811332602725,220,220.0,8.611044645309448,h0.02_k20,0.0892,37.1939081933095,0.74387816386619
0.02,20.0,0.001,0.1875,0.8689692820413484,8.000564692820413,800,16.0,1.9166026524099902e-10,-1.1309479353601344,0.0,1.1309479353601344,3.141592653589793,real flip,1.764455483727514e-11,6.854232987366656e-12,-1.1309479353610934,0.0,1.0,0.0,0.7950508861909553,0.2046247786781835,0.999675664869139,-0.0011075328578747,0.0,0.0011075328578747,-0.0034722222222222,0.0040996586893483,0.0053724788068118,220,220.0,8.760650396347046,h0.02_k20,0.0892,35.66457851811893,0.7132915703623786
0.02,20.0,0.001,0.25,0.9314692820413768,8.001814692820414,800,16.0,1.9240415488299631e-10,-1.130952135501076,0.0,1.130952135501076,3.141592653589793,real flip,1.8525638470174512e-11,6.795323037970977e-12,-1.1309521355015606,0.0,0.9999999999999998,0.0,0.794998888227791,0.2046873621457107,0.9996862503735018,-0.0012425347506894,0.0,0.0012425347506894,-0.0027777777777777,0.004794103133793,0.005540710625918,220,220.0,7.295422554016113,h0.02_k20,0.0892,34.728846973016836,0.6945769394603367
0.02,20.0,0.001,0.3125,0.9939692820414194,8.003064692820415,800,16.0,1.9825829866704223e-10,-1.130950179002906,0.0,1.130950179002906,3.141592653589793,real flip,1.9954042700696512e-11,6.780992725770505e-12,-1.1309501790026515,0.0,1.0,0.0,0.7948777307633825,0.2048192547177222,0.9996969854811047,-0.0013225749421335,0.0,0.0013225749421335,-0.0020833333333333,0.0054885475782379,0.0058706415574756,220,220.0,7.442275285720825,h0.02_k20,0.0892,34.22203758332569,0.6844407516665137
0.02,20.0,0.001,0.375,0.0564692820413625,8.004314692820413,800,16.0,1.8388162973076262e-10,-1.1309527095864054,0.0,1.1309527095864054,3.141592653589793,real flip,2.1215169933164416e-11,6.815573310058016e-12,-1.13095270958544,0.0,0.9999999999999998,0.0,0.7947080619545238,0.2049985516016332,0.999706613556157,-0.0013503357855524,0.0,0.0013503357855524,-0.0013888888888888,-0.0049281190884293,0.0051200947350044,220,220.0,7.153220176696777,h0.02_k20,0.0892,34.05261412591504,0.6810522825183009
0.02,20.0,0.001,0.4375,0.118969282041391,8.005564692820414,800,16.0,1.5114109963576539e-10,-1.1309506276781458,0.0,1.1309506276781458,3.141592653589793,real flip,1.6225402907276302e-10,6.957781709510848e-12,-1.130950627694568,0.0,1.0,0.0,0.7945573593671346,0.2051565313918691,0.9997138907590036,-0.0013304205925874,0.0,0.0013304205925874,-0.0006944444444444,-0.0042336746439845,0.0042902510506423,200,220.0,8.892680168151855,h0.02_k20,0.0892,34.17386413927777,0.6834772827855554
0.02,20.0,0.001,0.5,0.1814692820414194,8.006814692820415,800,16.0,3.5217193945149167e-10,-1.1309599828728176,0.0,1.1309599828728176,3.141592653589793,real flip,1.6644368167935056e-10,7.1934703187175946e-12,-1.1309599828669954,0.0,1.0,0.0,0.7944367920403276,0.205281274447943,0.9997180664882708,0.0012663389759499,0.0,0.0012663389759499,0.0,-0.0035392301995397,0.0035392301995397,200,220.0,15.99628472328186,h0.02_k20,0.0892,34.57269140995865,0.691453828199173
0.02,20.0,0.001,0.5625,0.2439692820413626,8.008064692820414,800,16.0,2.0557941517195842e-10,-1.130962349938999,0.0,1.130962349938999,3.141592653589793,real flip,1.488920675884393e-11,7.571845867176777e-12,-1.1309623499385846,0.0,1.0,0.0,0.7943494520415679,0.2053693191952559,0.9997187712368238,-0.001162451269392,0.0,0.001162451269392,0.0006944444444444,-0.0028447857550959,0.0029283201803793,220,220.0,15.940605401992798,h0.02_k20,0.0892,35.26764145744386,0.7053528291488772
0.02,20.0,0.001,0.625,0.306469282041391,8.009314692820414,800,16.0,4.1481714116967686e-10,-1.1309525794951971,0.0,1.1309525794951971,3.141592653589793,real flip,1.3493939123219172e-11,8.153196825751848e-12,-1.1309525794947568,0.0,0.9999999999999998,0.0,0.7943019378225346,0.2054138610483535,0.999715798870888,-0.0010229347720185,0.0,0.0010229347720185,0.0013888888888888,-0.0021503413106512,0.0025598789225219,220,220.0,15.7995924949646,h0.02_k20,0.0892,36.30908153743036,0.7261816307486072
