label,h,kappa,epsilon,cell,time,hp_edge,hp_ahead_max,hp_ahead_energy,relL2,peak,l2sq,mass
h002_k20_eps0,0.02,20,0.0,152,3.04,0.014562339241171632,0.001976319584022298,5.351817682469052e-06,8.948031136970961e-06,1.3333333997562051,8.377580403036974,8.377580389295273
h002_k20_eps0,0.02,20,0.0,153,3.06,0.04746662513454013,0.0024398608870419432,7.555247200775271e-06,9.070733391856238e-06,1.3333333007711898,8.37758040305658,8.377580389295272
h002_k20_eps0,0.02,20,0.0,154,3.08,0.07507871531899941,0.006137358033416505,4.7406893896911034e-05,9.703513614404017e-06,1.3333333538667418,8.377580403157738,8.37758038929527
h002_k20_eps0,0.02,20,0.0,155,3.1,0.10879724630319348,0.016593091888496326,0.00035607477807909774,1.0355801172415955e-05,1.333333327426065,8.37758040328262,8.377580389295272
h002_k20_eps0,0.02,20,0.0,156,3.12,0.07960212651987532,0.030535729851255567,0.0012913708796611321,9.994581702429355e-06,1.3333333279162891,8.37758040322185,8.377580389295272
h002_k20_eps0,0.02,20,0.0,157,3.14,0.06032471628759566,0.03638595733930524,0.0019873968967497875,9.450287134775594e-06,1.333333351859174,8.37758040313869,8.377580389295272
h002_k20_eps0,0.02,20,0.0,158,3.16,0.07917136514637202,0.03369664460184107,0.0018214528609460665,9.49308906854658e-06,1.3333333294268623,8.377580403169192,8.37758038929527
h002_k20_eps0,0.02,20,0.0,159,3.18,0.1128464375012927,0.02175374506461936,0.0008250399201876388,1.011189040035899e-05,1.3333333812523451,8.377580403259882,8.377580389295272
h002_k20_eps0,0.02,20,0.0,160,3.2,0.11137416664332389,0.008396119747816289,0.00014471549490414293,1.023259155408439e-05,1.3333333095257909,8.377580403309377,8.37758038929527
h002_k20_eps0,0.02,20,0.0,161,3.22,0.06694509478445469,0.001211391528220845,3.0190567199007237e-06,9.866249869596104e-06,1.3333333245441379,8.377580403250091,8.37758038929527
h002_k20_eps0,0.02,20,0.0,162,3.24,0.04419254558263791,0.0026487923396303482,7.593175011784407e-06,9.713353830062314e-06,1.3333333530202278,8.37758040324782,8.37758038929527
h002_k20_eps0,0.02,20,0.0,163,3.2600000000000002,0.027936884834884896,0.0021531913347602742,5.472175916267759e-06,9.784836838880164e-06,1.3333332875325992,8.377580403267544,8.37758038929527
h002_k20_eps0,0.02,20,0.0,164,3.2800000000000002,0.013952476842169622,0.000742195718049505,6.623439019692004e-07,9.373539682020339e-06,1.3333334027443924,8.377580403220554,8.37758038929527
h002_k20_eps0,0.02,20,0.0,165,3.3000000000000003,0.0731883197176123,0.0014952240385327966,2.759315809884959e-06,9.56427203418084e-06,1.3333333138507304,8.37758040327602,8.377580389295272
h002_k20_eps0,0.02,20,0.0,166,3.3200000000000003,0.07679073659136733,0.006542896817519384,5.373883285531497e-05,1.0110581790656505e-05,1.3333333336807853,8.377580403378628,8.377580389295272
h002_k20_eps0,0.02,20,0.0,167,3.34,0.09145013493935394,0.015234679581483715,0.00030043483200773867,1.0501348827231558e-05,1.3333333279960398,8.377580403479454,8.377580389295272
h002_k20_eps0,0.02,20,0.0,168,3.36,0.06513582198706983,0.022827793529188477,0.000711159383456896,1.0137581758183329e-05,1.3333333380882675,8.377580403437534,8.377580389295272
h002_k20_eps0,0.02,20,0.0,169,3.38,0.06001191961884516,0.02122425520025336,0.0006479454186793107,9.5713682875953e-06,1.333333362281679,8.37758040336007,8.37758038929527
h002_k20_eps0,0.02,20,0.0,170,3.4,0.10552411707638604,0.013252232424154438,0.00026127940104265064,1.00370960741243e-05,1.3333333175494504,8.377580403478584,8.37758038929527
h002_k20_eps0,0.02,20,0.0,171,3.42,0.10683844955400473,0.0011885978568417963,2.6139306951261263e-06,1.0322260131547334e-05,1.3333333707266264,8.377580403529713,8.377580389295268
h002_k20_eps0,0.02,20,0.0,172,3.44,0.090099799172159,0.009784910922867793,0.0001177119528805608,1.018225047358477e-05,1.3333333068926614,8.377580403543,8.37758038929527
h002_k20_eps0,0.02,20,0.0,173,3.46,0.05607649226520692,0.014444000038403817,0.0002736258229070456,1.0229801099570962e-05,1.3333333170745263,8.377580403572331,8.377580389295273
h002_k20_eps0,0.02,20,0.0,174,3.48,0.05441693872164414,0.0171195488096559,0.00039577316206791365,1.0340998723422647e-05,1.3333333787915178,8.377580403625377,8.377580389295272
h002_k20_eps0,0.02,20,0.0,175,3.5,0.04451158901934329,0.017455015187030694,0.00042134003561406766,1.0128365880338237e-05,1.3333332920006613,8.377580403614523,8.377580389295273
h002_k20_eps0,0.02,20,0.0,176,3.52,0.02819461328748562,0.013735470847916093,0.00026479208114161927,9.910527225678906e-06,1.3333333923695938,8.377580403607098,8.377580389295272
h002_k20_eps0,0.02,20,0.0,177,3.54,0.08908800365600904,0.007752288377279498,8.563287897032485e-05,1.0165198585990703e-05,1.3333333267435643,8.377580403694015,8.37758038929527
h002_k20_eps0,0.02,20,0.0,178,3.56,0.08635939526172404,0.0006201196620917944,8.582688639006618e-07,1.0683301768534698e-05,1.3333333333510078,8.377580403803464,8.37758038929527
h002_k20_eps0,0.02,20,0.0,179,3.58,0.09145690393209537,0.008513580795210364,9.02020963485611e-05,1.0775307110462792e-05,1.3333333315184392,8.37758040386387,8.377580389295272
h002_k20_eps0,0.02,20,0.0,180,3.6,0.053783681676376795,0.01288589565541035,0.0002169304330429298,1.0233413275124172e-05,1.333333340284035,8.377580403803126,8.377580389295273
