label,alpha,alpha_c,cell,time,unstable_subspace_norm,hp_edge,hp_ahead_max,hp_ahead_energy
h002_k20_rank3_full,1.0,0.11578513676636337,65,1.3,8.629022348664547e-12,0.0006342248677893715,0.0001753459465011136,2.3697790271245694e-07
h002_k20_rank3_full,1.0,0.11578513676636337,66,1.32,8.11233824482643e-12,0.0012699060520906906,0.00021225497920887898,2.828447699251244e-07
h002_k20_rank3_full,1.0,0.11578513676636337,67,1.34,1.7777910076739495e-11,0.0010820862383169973,0.0002317161740280514,3.3547945658434725e-07
h002_k20_rank3_full,1.0,0.11578513676636337,68,1.36,1.8875857932205964e-11,0.0006592806802671736,0.00023176192314365308,3.789113443311273e-07
h002_k20_rank3_full,1.0,0.11578513676636337,69,1.3800000000000001,1.0457133931281375e-11,0.001957932602655779,0.00023179223113645045,4.027380399095478e-07
h002_k20_rank3_full,1.0,0.11578513676636337,70,1.4000000000000001,7.604953535602818e-12,0.0005813001046765994,0.00023184575503056457,4.022405051066081e-07
h002_k20_rank3_full,1.0,0.11578513676636337,71,1.42,2.908615791641793e-11,0.0008740685361092885,0.0002318730287815681,4.0659443526154957e-07
h002_k20_rank3_full,1.0,0.11578513676636337,72,1.44,1.118297875498843e-11,0.0024994974665254114,0.0002319676100914243,4.482037414022281e-07
h002_k20_rank3_full,1.0,0.11578513676636337,73,1.46,2.4230759056747038e-11,0.0004239243018558526,0.0002940583638643731,5.269763559160453e-07
h002_k20_rank3_full,1.0,0.11578513676636337,74,1.48,2.4139312606243308e-11,0.0018199634075063812,0.0003878438224549334,6.776087262857266e-07
h002_k20_rank3_full,1.0,0.11578513676636337,75,1.5,1.2624772997518813e-11,0.001050012274237394,0.0004492966870634765,8.774233480486323e-07
h002_k20_rank3_full,1.0,0.11578513676636337,76,1.52,8.166839882920621e-12,0.0013358112985258344,0.00045404902914921856,1.0816258132396073e-06
h002_k20_rank3_full,1.0,0.11578513676636337,77,1.54,1.7724260292472784e-11,0.0017700193185910288,0.00045454572726315225,1.225466255544538e-06
h002_k20_rank3_full,1.0,0.11578513676636337,78,1.56,1.1497558690865524e-11,0.000755485022403739,0.00045502986467709584,1.2827728374700767e-06
h002_k20_rank3_full,1.0,0.11578513676636337,79,1.58,6.554230250026008e-12,0.0019186610788776003,0.0004555153707961396,1.2869746211522038e-06
h002_k20_rank3_full,1.0,0.11578513676636337,80,1.6,4.263634384719403e-12,0.0018952807850264471,0.0004559523117445882,1.3007466963999244e-06
h002_k20_rank3_full,1.0,0.11578513676636337,81,1.62,1.5408079480198176e-11,0.0011752051435286112,0.000456450276067083,1.3770247163688437e-06
h002_k20_rank3_full,1.0,0.11578513676636337,82,1.6400000000000001,2.757183641340853e-11,0.0018539571302388209,0.0004568973323121998,1.5300752472991492e-06
h002_k20_rank3_full,1.0,0.11578513676636337,83,1.6600000000000001,1.802475985683985e-11,0.002115727150747027,0.0004573621937075319,1.7238404475436874e-06
h002_k20_rank3_full,1.0,0.11578513676636337,84,1.68,2.806488686772863e-11,0.00022913918480493107,0.00045779326170820086,1.8764391924189002e-06
h002_k20_rank3_full,1.0,0.11578513676636337,85,1.7,3.984918597625732e-11,0.0023871174096739976,0.0004582119908621447,1.9453446411440234e-06
